iter	Passed	Remaining
904	2317	243
905	2319	240
906	2322	238
907	2324	235
908	2327	232
909	2329	230
910	2332	227
911	2334	225
912	2337	222
913	2339	220
914	2341	217
915	2344	214
916	2346	212
917	2348	209
918	2352	207
919	2354	204
920	2356	202
921	2359	199
922	2361	197
923	2364	194
924	2367	191
925	2369	189
926	2371	186
927	2374	184
928	2376	181
929	2379	179
930	2381	176
931	2383	173
932	2385	171
933	2388	168
934	2390	166
935	2392	163
936	2395	161
937	2397	158
938	2399	155
939	2402	153
940	2404	150
941	2406	148
942	2409	145
943	2411	143
944	2413	140
945	2416	137
946	2418	135
947	2420	132
948	2422	130
949	2425	127
950	2427	125
951	2430	122
952	2432	119
953	2435	117
954	2437	114
955	2439	112
956	2442	109
957	2444	107
958	2446	104
959	2449	102
960	2451	99
961	2453	96
962	2456	94
963	2458	91
964	2461	89
965	2463	86
966	2465	84
967	2467	81
968	2470	79
969	2472	76
970	2474	73
971	2477	71
972	2479	68
973	2481	66
974	2484	63
975	2486	61
976	2488	58
977	2491	56
978	2493	53
979	2496	50
980	2498	48
981	2500	45
982	2503	43
983	2505	40
984	2507	38
985	2510	35
986	2512	33
987	2514	30
988	2517	27
989	2519	25
990	2521	22
991	2524	20
992	2526	17
993	2528	15
994	2531	12
995	2533	10
996	2536	7
997	2538	5
998	2540	2
999	2543	0
