,date,open,high,low,close,volume,c_mar,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
381,2019-01-10,0.046551,0.046753,0.03793,0.038827,3614002.0,40774119.0,634499,156,149358072,957423.5384615379,0.80976747,63397040767.49161,78290426948.98228,5618595848853.26,7.8514309804104e-05,0.28484233541497195,2.741e-05,0.09944083356530092,25.31026548,91823.1994560475,43571098.6754805,1950.0,4.07299812309593,7074411.727556978,1950.0,7074411.727556978,38.54873468,49.0428767345763,1,3627.9034500292205,-75.26837807276362,8.212795741226367,17474842.32717963,322365,654062,453318.18214462,1644594596.9634411,1.4612246285298003,5301.181871110928,0.014749285,53.508981936964226,955731.50298546,3467301616.9825616,0.03673311027363151,0.04574667633025695,0.052222477193258315
382,2019-01-09,0.0452,0.046915,0.044834,0.046507,2347018.0,48839187.0,619701,164,145905681,889668.7865853659,0.88542141,69965986980.18709,79019985305.1337,5618595848853.26,7.66254060829815e-05,0.3068279746682572,2.629e-05,0.1052719700472824,24.57361448,98399.11782016071,45805513.992171794,2050.0,4.2823476845611,8208731.023085924,2050.0,8208731.023085924,54.31023516,54.1319626951997,1,4004.2590356516707,-72.1512325683221,17.30336696391323,17472892.32720693,320698,633976,321723.74645825,1288265218.7391546,1.14677928055097,4592.001296044344,0.0145584,58.29560474463127,727030.54116658,2911218613.6610007,0.03603385926820052,0.04178420823622443,0.05089012628062902
383,2019-01-08,0.045394,0.046129,0.04415,0.045028,2070780.0,47285900.0,607366,169,145383987,860260.278106509,0.88278743,69754483224.10104,79016171756.35587,5618595848853.26,6.50457524569831e-05,0.2597031536072099,2.034e-05,0.08120994753445353,20.662824,82498.86199378797,47202023.5651039,2112.5,4.41342486845981,8434415.642405756,2112.5,8434415.642405756,68.61701175,53.719016515557215,1,3992.6227893045,-73.27099256864025,12.771951155260371,17470842.32724424,317666,612637,254613.86151949,1016577105.9755359,1.09434600777521,4369.310810027703,0.015118415,60.362128267162994,670436.85516538,2676801466.7229366,0.036040087046908184,0.04247588841944671,0.050891994535157116
384,2019-01-07,0.046401,0.047015,0.044789,0.045331,1896650.0,47604465.0,613474,141,141045778,1000324.66666667,0.8841578000000001,69892707335.84885,79050037992.3062,5618595848853.26,8.43097819631297e-05,0.3373249786655284,2.18e-05,0.08722219846475737,24.30263189,97235.2744002533,39381569.9566843,1762.5,3.68265183766071,7051794.715327289,1762.5,7051794.715327289,58.0131443,53.63305022071909,1,4001.0182781998797,-75.350582435513,17.402452374100154,17468729.82727154,288254,602831,301116.75616676,1204773645.2954633,1.25006640226768,5001.5385244365525,0.01402083,56.09759710553322,753578.77934543,3015082470.22462,0.03612115032626607,0.04290953694834132,0.05088940728340737
385,2019-01-06,0.04508,0.047436,0.044005,0.046287,2071111.0,48608005.0,498140,141,113449393,804605.624113475,0.89346662,70671241074.1243,79097796325.11705,5618595848853.26,6.47249722647474e-05,0.26187683486927005,1.122e-05,0.045396050155336085,16.27735965,65858.09581709835,39381569.9566843,1762.5,3.6830234347240003,7131064.02841175,1762.5,7131064.02841175,85.11061427,54.14857281181697,1,4045.99377498539,-76.34418303182277,19.95253311141009,17466967.32729884,251485,508201,205226.66271071,830345799.788559,0.9895503144540251,4003.714412315819,0.01206546,48.816776052335214,502890.45935585,2034691668.0533125,0.03612922904220322,0.04280337450071397,0.050895083977726484
386,2019-01-05,0.045656,0.047378,0.045159,0.045486,2600855.0,47766548.0,519070,163,134492012,825104.36809816,0.83856669,66343570783.85975,79115437458.32893,5618595848853.26,4.654948857167229e-05,0.1768235368863315,7.41e-06,0.028147729406528363,12.55146445,47678.168015419746,45526212.0775854,2037.5,4.25810923693025,7739675.93330655,2037.5,7739675.93330655,85.6136471,50.63365124734784,1,3798.6139549970794,-77.6515671419405,8.161944906404573,17465204.82729884,269637,533367,204000.24317033,774918170.5296134,1.0319036162853001,3919.803477033292,0.012968325,49.26166031793751,550383.33610724,2090693821.1348095,0.036001939299024115,0.042214352166607017,0.050090299600781235
387,2019-01-04,0.044368,0.045931,0.043376,0.04577,2147433.0,48064824.0,580495,149,142981222,959605.516778523,0.8447264999999999,66840702441.17109,79127034072.29091,5618595848853.26,6.828036421037779e-05,0.2613447733290766,1.337e-05,0.051174003826984275,19.35680045,74088.62979105991,41615985.2733756,1862.5,3.8928362035293596,7128764.557049978,1862.5,7128764.557049978,57.00209431,51.04770847036793,1,3827.52459438925,-74.60220173753503,3.181104531496348,17463167.32729884,283490,581832,306360.10026406,1172600818.5002463,1.26307125341202,4834.436286900564,0.01414561,54.14267017763852,734895.27351522,2812829733.67992,0.03600109162740387,0.04346597397891084,0.05012632349050282
388,2019-01-03,0.047004,0.047078,0.043937,0.044282,1905546.0,46501936.0,598436,155,149073486,961764.425806452,0.83487141,66080363535.854095,79150349337.67732,5618595848853.26,6.64313554014372e-05,0.25140206637001417,1.5399999999999998e-05,0.05827958497463472,19.07117994,72172.75661557006,43291796.760894105,1937.5,4.05002665604511,7332252.979763296,1937.5,7332252.979763296,61.32692315,50.580838010520246,1,3784.38863471654,-74.78803139067848,-2.7887069277487315,17461304.82732614,287081,599287,284724.94509582,1077509846.2409117,1.15698878992474,4378.495227085628,0.015,56.7658295207481,693368.34094763,2623975269.154474,0.035985024379628694,0.044332795282971287,0.05006449874463678
389,2019-01-02,0.046856,0.047362,0.04491,0.046981,2705957.0,49336677.0,578607,151,142187231,941637.291390728,0.85907301,68060061857.88496,79225003379.23326,5618595848853.26,6.71155926345337e-05,0.26162983461482553,1.13e-05,0.04404963161461131,18.19523851,70928.63305358311,42174589.1025484,1887.5,3.94594768002073,7357847.7586352965,1887.5,7357847.7586352965,69.70902488,51.97946349185506,1,3898.1974880187,-73.57928453848574,1.4105398327127676,17459367.32735344,271103,545632,250460.64491016,976345056.8363293,1.1948684446029398,4657.833169263992,0.01537015,59.91588012047063,651958.45916559,2541462827.8118453,0.03597484138551374,0.044060687029019344,0.05007233027725239
390,2019-01-01,0.045677,0.046854,0.043314,0.046765,2433291.0,49109537.0,433715,149,120384440,807949.2617449659,0.8391035,66480140226.79674,79227580206.23628,5618595848853.26,4.77644695160996e-05,0.1818927280848695,6.78e-06,0.025819038898772642,11.26348285,42892.66988787737,41615985.2733756,1862.5,3.89410445678285,7092619.461499121,1862.5,7092619.461499121,120.19941785,50.621581707569554,1,3808.11783167738,-71.71766952557938,-7.090677930251478,17457479.82738074,235813,448759,145237.64040738,553082048.2660909,0.859115115391067,3271.6115903842924,0.01194165,45.47521030465018,385535.64006778,1468165145.6892645,0.03593322978976442,0.04537085224675269,0.049907923946698934
