,base_form,past_form,past_participle,s_es_ies,ing_form
362,govern,governed,governed,governs,governing
363,grab,grabbed,grabbed,grabs,grabbing
364,grade,graded,graded,grades,grading
365,grant,granted,granted,grants,granting
366,greet,greeted,greeted,greets,greeting
367,grind,ground,ground,grinds,grinding
368,grip,gripped,gripped,grips,gripping
369,grow,grew,grown,grows,growing
370,guard,guarded,guarded,guards,guarding
371,guess,guessed,guessed,guesses,guessing
372,guide,guided,guided,guides,guiding
373,handle,handled,handled,handles,handling
374,hang,hung,hung,hangs,hanging
375,happen,happened,happened,happens,happening
376,harm,harmed,harmed,harms,harming
377,hatch,hatched,hatched,hatches,hatching
378,hate,hated,hated,hates,hating
379,have,had,had,has,having
380,heal,healed,healed,heals,healing
381,hear,heard,heard,hears,hearing
382,heave,hove,hove,heaves,heaving
383,help,helped,helped,helps,helping
384,hew,hewed,hewn,hews,hewing
385,hide,hid,hidden,hides,hiding
386,hinder,hindered,hindered,hinders,hindering
387,hiss,hissed,hissed,hisses,hissing
388,hit,hit,hit,hits,hitting
389,hoax,hoaxed,hoaxed,hoaxes,hoaxing
390,hold,held,held,holds,holding
391,hop,hopped,hopped,hops,hopping
392,hope,hoped,hoped,hopes,hoping
393,horrify,horrified,horrified,horrifies,horrifying
394,hug,hugged,hugged,hugs,hugging
395,hum,hummed,hummed,hums,humming
396,humiliate,humiliated,humiliated,humiliates,humiliating
397,hunt,hunted,hunted,hunts,hunting
398,hurl,hurled,hurled,hurls,hurling
399,hurry,hurried,hurried,hurries,hurrying
400,hurt,hurt,hurt,hurts,hurting
401,hush,hushed,hushed,hushes,hushing
402,hustle,hustled,hustled,hustles,hustling
403,hypnotize,hypnotized,hypnotized,hypnotizes,hypnotizing
404,idealize,idealized,idealized,idealizes,idealizing
405,identify,identified,identified,identifies,identifying
406,idolize,idolized,idolized,idolizes,idolizing
407,ignite,ignited,ignited,ignites,igniting
408,ignore,ignored,ignored,ignores,ignoring
409,ill-treat,ill-treated,ill-treated,ill-treats,ill-treating
410,illuminate,illuminated,illuminated,illuminates,illuminating
411,illumine,illumined,illumined,illumines,illumining
412,illustrate,illustrated,illustrated,illustrates,illustrating
413,imagine,imagined,imagined,imagines,imagining
414,imbibe,imbibed,imbibed,imbibes,imbibing
415,imitate,imitated,imitated,imitates,imitating
416,immerse,immersed,immersed,immerses,immersing
417,immolate,immolated,immolated,immolates,immolating
418,immure,immured,immured,immures,immuring
419,impair,impaired,impaired,impairs,impairing
420,impart,imparted,imparted,imparts,imparting
421,impeach,impeached,impeached,impeaches,impeaching
422,impede,impeded,impeded,impedes,impeding
423,impel,impelled,impelled,impels,impelling
424,impend,impended,impended,impends,impending
425,imperil,imperilled,imperilled,imperils,imperilling
426,impinge,impinged,impinged,impinges,impinging
427,implant,implanted,implanted,implants,implanting
428,implicate,implicated,implicated,implicates,implicating
429,implode,imploded,imploded,implodes,imploding
430,implore,implored,implored,implores,imploring
431,imply,implied,implied,implies,implying
432,import,imported,imported,imports,importing
433,impose,imposed,imposed,imposes,imposing
434,impress,impressed,impressed,impresses,impressing
