,base_form,past_form,past_participle,s_es_ies,ing_form
765,search,searched,searched,searches,searching
766,seat,seated,seated,seats,seating
767,secure,secured,secured,secures,securing
768,see,saw,seen,sees,seeing
769,seek,sought,sought,seeks,seeking
770,seem,seemed,seemed,seems,seeming
771,seize,seized,seized,seizes,seizing
772,select,selected,selected,selects,selecting
773,sell,sold,sold,sells,selling
774,send,sent,sent,sends,sending
775,sentence,sentenced,sentenced,sentences,sentencing
776,separate,separated,separated,separates,separating
777,set,set,set,sets,setting
778,sever,severed,severed,severs,severing
779,sew,sewed,sewn,sews,sewing
780,shake,shook,shaken,shakes,shaking
781,shape,shaped,shaped,shapes,shaping
782,share,shared,shared,shares,sharing
783,shatter,shattered,shattered,shatters,shattering
784,shave,shove,shaven,shaves,shaving
785,shear,shore,shorn,shears,shearing
786,shed,shed,shed,sheds,shedding
787,shine,shone,shone,shines,shining
788,shirk,shirked,shirked,shirks,shirking
789,shit,shit,shit,shits,shitting
790,shiver,shivered,shivered,shivers,shivering
791,shock,shocked,shocked,shocks,shocking
792,shoe,shod,shod,shoes,shoeing
793,shoot,shot,shot,shoots,shooting
794,shorten,shortened,shortened,shortens,shortening
795,shout,shouted,shouted,shouts,shouting
796,show,showed,shown,shows,showing
797,shrink,shrank,shrunk,shrinks,shrinking
798,shun,shunned,shunned,shuns,shunning
799,shut,shut,shut,shuts,shutting
800,sight,sighted,sighted,sights,sighting
801,signal,signalled,signalled,signals,signalling
802,signify,signified,signified,signifies,signifying
803,sing,sang,sung,sings,singing
804,sink,sank,sunk,sinks,sinking
805,sip,sipped,sipped,sips,sipping
806,sit,sat,sat,sits,sitting
807,ski,skied,skied,skis,skiing
808,skid,skidded,skidded,skids,skidding
809,slam,slammed,slammed,slams,slamming
810,slay,slew,slain,slays,slaying
811,sleep,slept,slept,sleeps,sleeping
812,slide,slid,slid/slide,slides,sliding
813,slim,slimmed,slimmed,slims,slimming
814,sling,slung,slung,slings,slinging
815,slink,slunk,slunk,slinks,slinking
816,slip,slipped,slipped,slips,slipping
817,slit,slit,slit,slits,slitting
818,smash,smashed,smashed,smashes,smashing
819,smell,smelt,smelt,smells,smelling
820,smile,smiled,smiled,smiles,smiling
821,smite,smote,smitten,smites,smiting
822,smooth,smoothed,smoothed,smoothes,smoothing
823,smother,smothered,smothered,smothers,smothering
824,snap,snapped,snapped,snaps,snapping
825,snatch,snatched,snatched,snatches,snatching
826,sneak,sneaked,sneaked,sneaks,sneaking
827,sneeze,sneezed,sneezed,sneezes,sneezing
828,sniff,sniffed,sniffed,sniffs,sniffing
829,soar,soared,soared,soars,soaring
830,sob,sobbed,sobbed,sobs,sobbing
831,solicit,solicited,solicited,solicits,soliciting
832,solve,solved,solved,solves,solving
833,soothe,soothed,soothed,soothes,soothing
834,sort,sorted,sorted,sorts,sorting
835,sow,sowed,sowed,sows,sowing
836,sparkle,sparkled,sparkled,sparkles,sparkling
837,speak,spoke,spoken,speaks,speaking
838,speed,sped,sped,speeds,speeding
839,spell,spelt,spelt,spells,spelling
840,spend,spent,spent,spends,spending
841,spill,spilt,spilt,spills,spilling
842,spin,span/spun,spun,spins,spinning
843,spit,spat/spit,spat/spit,spits,spitting
844,split,split,split,splits,splitting
845,spoil,spoilt,spoilt,spoils,spoiling
846,spray,sprayed,sprayed,sprays,spraying
847,spread,spread,spread,spreads,spreading
848,spring,sprang,sprung,springs,springing
849,sprout,sprouted,sprouted,sprouts,sprouting
850,squeeze,squeezed,squeezed,squeezes,squeezing
851,stand,stood,stood,stands,standing
852,stare,stared,stared,stares,staring
853,start,started,started,starts,starting
854,state,stated,stated,states,stating
855, , , , , 
856,stay,stayed,stayed,stays,staying
857,steal,stole,stolen,steals,stealing
858,steep,steeped,steeped,steeps,steeping
859,stem,stemmed,stemmed,stems,stemming
860,step,stepped,stepped,steps,stepping
861,sterilize,sterilized,sterilized,sterilizes,sterilizing
862,stick,stuck,stuck,sticks,sticking
863,stimulate,stimulated,stimulated,stimulates,stimulating
864,sting,stung,stung,stings,stinging
865,stink,stank,stunk,stinks,stinking
866,stir,stirred,stirred,stirs,stirring
867,stitch,stitched,stitched,stitches,stitching
868,stoop,stooped,stooped,stoops,stooping
869,stop,stopped,stopped,stops,stopping
870,store,stored,stored,stores,storing
871,strain,strained,strained,strains,straining
872,stray,strayed,strayed,strays,straying
873,stress,stressed,stressed,stresses,stressing
874,stretch,stretched,stretched,stretches,stretching
875,strew,strewed,strewn,strews,strewing
876,stride,strode,stridden,strides,striding
877,strike,struck,struck/stricken,strikes,striking
878,string,strung,strung,strings,stringing
879,strive,strove,striven,strives,striving
880,study,studied,studied,studies,studying
881,submit,submitted,submitted,submits,submitting
882,subscribe,subscribed,subscribed,subscribes,subscribing
883,subtract,subtracted,subtracted,subtracts,subtracting
884,succeed,succeeded,succeeded,succeeds,succeeding
885,suck,sucked,sucked,sucks,sucking
886,suffer,suffered,suffered,suffers,suffering
887,suggest,suggested,suggested,suggests,suggesting
888,summon,summoned,summoned,summons,summoning
889,supply,supplied,supplied,supplies,supplying
890,support,supported,supported,supports,supporting
891,suppose,supposed,supposed,supposes,supposing
892,surge,surged,surged,surges,surging
893,surmise,surmised,surmised,surmises,surmising
894,surpass,surpassed,surpassed,surpasses,surpassing
895,surround,surrounded,surrounded,surrounds,surrounding
896,survey,surveyed,surveyed,surveys,surveying
897,survive,survived,survived,survives,surviving
898,swallow,swallowed,swallowed,swallows,swallowing
899,sway,swayed,swayed,sways,swaying
900,swear,swore,sworn,swears,swearing
901,sweat,sweat,sweat,sweats,sweating
902,sweep,swept,swept,sweeps,sweeping
903,swell,swelled,swollen,swells,swelling
904,swim,swam,swum,swims,swimming
905,swing,swung,swung,swings,swinging
906,swot,swotted,swotted,swots,swotting
907,take,took,taken,takes,taking
908,talk,talked,talked,talks,talking
909,tap,tapped,tapped,taps,tapping
910,taste,tasted,tasted,tastes,tasting
911,tax,taxed,taxed,taxes,taxing
912,teach,taught,taught,teaches,teaching
913,tear,tore,torn,tears,tearing
914,tee,teed,teed,tees,teeing
915,tell,told,told,tells,telling
916,tempt,tempted,tempted,tempts,tempting
917,tend,tended,tended,tends,tending
918,terminate,terminated,terminated,terminates,terminating
919,terrify,terrified,terrified,terrifies,terrifying
920,test,tested,tested,tests,testing
921,thank,thanked,thanked,thanks,thanking
922,think,thought,thought,thinks,thinking
923,thrive,throve,thriven,thrives,thriving
924,throw,threw,thrown,throws,throwing
925,thrust,thrust,thrust,thrusts,thrusting
926,thump,thumped,thumped,thumps,thumping
927,tie,tied,tied,ties,tying
928,tire,tired,tired,tires,tiring
929,toss,tossed,tossed,tosses,tossing
930,touch,touched,touched,touches,touching
931,train,trained,trained,trains,training
932,trample,trampled,trampled,tramples,trampling
933,transfer,transferred,transferred,transfers,transferring
934,transform,transformed,transformed,transforms,transforming
935,translate,translated,translated,translates,translating
936,trap,trapped,trapped,traps,trapping
937,travel,travelled,travelled,travels,travelling
938,tread,trod,trodden,treads,treading
939,treasure,treasured,treasured,treasures,treasuring
940,treat,treated,treated,treats,treating
941,tree,treed,treed,trees,treeing
942,tremble,trembled,trembled,trembles,trembling
943,triumph,triumphed,triumphed,triumphs,triumphing
944,trust,trusted,trusted,trusts,trusting
945,try,tried,tried,tries,trying
946,turn,turned,turned,turns,turning
947,type,typed,typed,types,typing
948,typeset,typeset,typeset,typesets,typesetting
949,understand,understood,understood,understands,understanding
950,undo,undid,undone,undoes,undoing
951,uproot,uprooted,uprooted,uproots,uprooting
952,upset,upset,upset,upsets,upsetting
953,urge,urged,urged,urges,urging
954,use,used,used,uses,using
955,utter,uttered,uttered,utters,uttering
956,value,valued,valued,values,valuing
957,vanish,vanished,vanished,vanishes,vanishing
958,vary,varied,varied,varies,varying
959,verify,verified,verified,verifies,verifying
960,vex,vexed,vexed,vexes,vexing
961,vie,vied,vied,vies,vying
962,view,viewed,viewed,views,viewing
963,violate,violated,violated,violates,violating
964,vomit,vomited,vomited,vomits,vomiting
965,wake,woke,woken,wakes,waking
966,walk,walked,walked,walks,walking
967,wander,wandered,wandered,wanders,wandering
968,want,wanted,wanted,wants,wanting
969,warn,warned,warned,warns,warning
970,waste,wasted,wasted,wastes,wasting
971,watch,watched,watched,watches,watching
972,water,watered,watered,waters,watering
973,wave,waved,waved,waves,waving
974,wax,waxed,waxed,waxes,waxing
975,waylay,waylaid,waylaid,waylays,waylaying
976,wear,wore,worn,wears,wearing
977,weave,wove,woven,weaves,weaving
978,wed,wed,wed,weds,wedding
979,weep,wept,wept,weeps,weeping
980,weigh,weighed,weighed,weighs,weighing
981,welcome,welcomed,welcomed,welcomes,welcoming
982,wend,went,went,wends,wending
983,wet,wet,wet,wets,wetting
984,whip,whipped,whipped,whips,whipping
985,whisper,whispered,whispered,whispers,whispering
986,win,won,won,wins,winning
987,wind,wound,wound,winds,winding
988,wish,wished,wished,wishes,wishing
989,withdraw,withdrew,withdrawn,withdraws,withdrawing
990,work,worked,worked,works,working
991,worry,worried,worried,worries,worrying
992,worship,worshipped,worshipped,worships,worshipping
993,wring,wrung,wrung,wrings,wringing
994,write,wrote,written,writes,writing
995,yawn,yawned,yawned,yawns,yawning
996,yell,yelled,yelled,yells,yelling
997,yield,yielded,yielded,yields,yielding
998,zinc,zincked,zincked,zincs,zincking
999,zoom,zoomed,zoomed,zooms,zooming
