PELÍCULA,DIRECTOR,CICLO/ESTRENO,PAIS,ASISTENCIA,FUNCIONES,GENERO,PERIODO,MES,EXHIBIDA
Irak año cero/ Parte 2: Después de la batallas,Abbas Fahdel,estreno,Irak-Francia,270,13,ADULTOS,2018,ABRIL,SALA
Ixcanul,Jayro Bustamante,Vinculación Educativa,Guatemala-Francia,17,1,ADULTOS,2018,ABRIL,SALA
Joaquín,Marcelo Gomes,64 Muestra Internacional de Cine,Brasil-Portugal,500,10,ADULTOS,2018,ABRIL,SALA
Kaisa y el bosque encantado,Katja Gauriloff,Semana de Cine Finlandés,Finlandia,100,2,ADULTOS,2018,ABRIL,SALA
La 4ª compañía,Amir Galván y Vanessa Arreola,estreno,México-España,6238,42,ADULTOS,2018,ABRIL,SALA
La bella y la bestia,Jean Cocteau,Híbridos: el cuerpo como imaginario,Francia,171,1,ADULTOS,2018,ABRIL,SALA
La casa de los lúpulos,varios,MICU,,,,,2018,ABRIL,SALA
La ciudad al desnudo,Gabriel Retes,Los retos de Retes,México,351,5,ADULTOS,2018,ABRIL,SALA
La cosa del otro mundo,John Carpenter,Híbridos: el cuerpo como imaginario,Estados Unidos,169,1,ADULTOS,2018,ABRIL,SALA
La isla mínima,Alberto Rodríguez,Continua en Cartelera,España,362,13,ADULTOS,2018,ABRIL,SALA
La libertad del diablo,Everardo González,Continua en Cartelera,México,3665,37,ADULTOS,2018,ABRIL,SALA
La maldición de Thelma,Joachim Trier,Continua en Cartelera,Noruega,9693,59,ADULTOS,2018,ABRIL,SALA
La marca de la pantera,Paul Schrader,Clásicos en pantalla grande,Estados Unidos,332,2,ADULTOS,2018,ABRIL,SALA
La mosca,David Cronenberg,Híbridos: el cuerpo como imaginario,Estados Unidos-Reino Unido-Canadá,174,1,ADULTOS,2018,ABRIL,SALA
La mujer joven,Léonor Serraille,Continua en Cartelera,Francia,2847,28,ADULTOS,2018,ABRIL,SALA
La noche avanza,Roberto Gavaldón,"Charla de cine y literatura: José Revueltas, guionista",México,155,1,ADULTOS,2018,ABRIL,SALA
La pasión de Juana de Arco,Carl Theodor Dreyer,Clásicos en pantalla grande,Francia,453,3,ADULTOS,2018,ABRIL,SALA
La revolución y los artistas,Gabriel Retes,Los retos de Retes,México,236,3,ADULTOS,2018,ABRIL,SALA
La revolución y los artistas,Gabriel Retes,Presentación del Libro Los retos de Retes,México,193,1,ADULTOS,2018,ABRIL,SALA
Lady Macbeth,William Oldroyd,Continua en Cartelera,Reino Unido,4134,44,ADULTOS,2018,ABRIL,SALA
Las alas del deseo (el cielo sobre Berlín),Wim Wenders,Híbridos: el cuerpo como imaginario,Alemania-Francia,174,1,ADULTOS,2018,ABRIL,SALA
Las olas,varios,Cineclub 43,,,,,2018,ABRIL,SALA
Las pibas,Raúl Perrone,Raúl Perrone: el último de los independientes,Argentina,116,2,ADULTOS,2018,ABRIL,SALA
Las voces de las bestias,varios,MICU,,,,,2018,ABRIL,SALA
Las voces de las bestias,varios,MICU,,,,,2018,ABRIL,SALA
Lo que no se dice bajo el sol,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Lobo,Naji Abu Nowar,estreno,Jordania-Emiratos Árabes Unidos-Reino Unido-Qatar,1532,25,ADULTOS,2018,ABRIL,SALA
Los años duros,Gabriel Retes,Los retos de Retes,México,28,1,ADULTOS,2018,ABRIL,SALA
Los magos,Joram Lürsen,Matiné la matatena,Países bajos,320,4,INFANTIL,2018,ABRIL,SALA
Los náufragos del Liguria,Gabriel Retes,Los retos de Retes,México,17,1,ADULTOS,2018,ABRIL,SALA
Los náufragos II: Los piratas,Gabriel Retes,Los retos de Retes,México,24,1,ADULTOS,2018,ABRIL,SALA
Los ojos del mar,José Álvarez,estreno,México-Alemania,1344,23,ADULTOS,2018,ABRIL,SALA
Los revoltosos,Gilberto Martínez Solares,Vinculación Educativa,México,28,1,ADULTOS,2018,ABRIL,SALA
Luces en el cielo (versión doblada),Akuyuki Shinbou y Nobuki Takeuchi,Continua en Cartelera,Japón,42,1,ADULTOS,2018,ABRIL,SALA
Luces en el cielo (versión subtitulada),Akuyuki Shinbou y Nobuki Takeuchi,Continua en Cartelera,Japón,861,13,ADULTOS,2018,ABRIL,SALA
Lucky,John Carroll Lynch,64 Muestra Internacional de Cine,Etsados Unidos,1350,10,ADULTOS,2018,ABRIL,SALA
Luiza,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Lunch break,Sharon Lockhart,CALARTS,Estados Unidos,104,1,ADULTOS,2018,ABRIL,SALA
Material prima,varios,MICU,,,,,2018,ABRIL,SALA
Matrioshka,varios,MICU,,,,,2018,ABRIL,SALA
Matrioshka,varios,MICU,,,,,2018,ABRIL,SALA
Menstruación consciente,varios,Cineclub 43,,,,,2018,ABRIL,SALA
Metropolis,Fritz Lang,Híbridos: el cuerpo como imaginario,Alemania,174,1,ADULTOS,2018,ABRIL,SALA
Muerte de un insecto,varios,Semana de cine Finlandés,,,,,2018,ABRIL,SALA
Mujeres en el acto,Gabriel Retes,Los retos de Retes,México,37,2,ADULTOS,2018,ABRIL,SALA
Mujeres salvajes,Gabriel Retes,Los retos de Retes,México,31,2,ADULTOS,2018,ABRIL,SALA
Murciélagos,varios,MICU,,,,,2018,ABRIL,SALA
Noche de shorts,varios,Noche de shorts,Gana-Alemania-Francia-Hong Kong-Estados Unidos-México,145,1,,2018,ABRIL,SALA
Noche de shorts,varios,Noche de shorts,,,1,,2018,ABRIL,SALA
Nocturno,Luís Ayhllon,Continua en Cartelera,México,1260,31,ADULTOS,2018,ABRIL,SALA
Nuevo Mundo,Gabriel Retes,Los retos de Retes,México,114,4,ADULTOS,2018,ABRIL,SALA
O estacionamiento,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Ojos invisibles,varios,MICU,,,,,2018,ABRIL,SALA
Old Match,varios,MICU,,,,,2018,ABRIL,SALA
P3ND3JO5,Raúl Perrone,Raúl Perrone: el último de los independientes,Argentina,87,2,ADULTOS,2018,ABRIL,SALA
Paraíso esperanza,Ulrich Seidl,Vinculación Educativa,Austria-Francia-Alemania,55,2,ADULTOS,2018,ABRIL,SALA
Patrimonio: chorizo,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Pequeñas voces,Jairo Carrillo y Óscar Andrade,Vinculación Educativa,Colombia,42,1,INFANTIL,2018,ABRIL,SALA
Placas tectónicas,Mika Tannila,Semana de Cine Finlandés,Finlandia,85,2,ADULTOS,2018,ABRIL,SALA
Ponzoña,varios,MICU,,,,,2018,ABRIL,SALA
Por piedad Alejandra,varios,MICU,,,,,2018,ABRIL,SALA
Porto,Gabe Klinger,64 Muestra Internacional de Cine,Portugal-Estados Unidos-Francia-Polonia,288,2,ADULTOS,2018,ABRIL,SALA
Post tenebras lux,Carlos Reygadas,Híbridos: el cuerpo como imaginario,México-Francia-Países bajos-Alemania,172,1,ADULTOS,2018,ABRIL,SALA
Presencia,varios,Cineclub 43,,,,,2018,ABRIL,SALA
Programa 1 de cortometrajes,varios,MICU,,153,1,,2018,ABRIL,SALA
Programa 2 de cortometrajes,varios,MICU,México-Guatemala,39,1,,2018,ABRIL,SALA
Programa 3 de cortometrajes,varios,MICU,,31,1,,2018,ABRIL,SALA
Programa 5,varios,MICU,México-Brasil,77,1,,2018,ABRIL,SALA
Programa de cortos,varios,CALARTS,,16,1,ADULTOS,2018,ABRIL,SALA
Programa de cortos,varios,Cineclub 43,,88,1,,2018,ABRIL,SALA
Programa indígena,varios,Semana de cine Finlandés,,112,1,,2018,ABRIL,SALA
Qué viva méxico,varios,MICU,,,,,2018,ABRIL,SALA
Ragazzi,Raúl Perrone,Raúl Perrone: el último de los independientes,Argentina,39,1,ADULTOS,2018,ABRIL,SALA
Recuerdos desde Fukushima,Dories Dörrie,Continua en Cartelera,Alemania,447,12,ADULTOS,2018,ABRIL,SALA
Reminiscencia,varios,Cineclub 43,,,,,2018,ABRIL,SALA
"Roma, ciudad abierta",Roberto Rossellini,estreno,Italia,913,13,ADULTOS,2018,ABRIL,SALA
Rosauro Castro,Roberto Gavaldón,"Charla de cine y literatura: José Revueltas, guionista",México,157,1,ADULTOS,2018,ABRIL,SALA
Rostros y lugares,Agnès Varda y JR,estreno,Francia,1390,12,ADULTOS,2018,ABRIL,SALA
Rudzienko,Sharon Lockhart,CALARTS,Estados Unidos-Polonia,96,1,ADULTOS,2018,ABRIL,SALA
Sagrada,Raúl Perrone,Raúl Perrone: el último de los independientes,Argentina,37,1,ADULTOS,2018,ABRIL,SALA
Salvado de las aguas,varios,MICU,,,,,2018,ABRIL,SALA
Samuray-s,Raúl Perrone,Raúl Perrone: el último de los independientes,Argentina,18,1,ADULTOS,2018,ABRIL,SALA
"Sápmi, una forma de ser",varios,Semana de cine Finlandés,,,,,2018,ABRIL,SALA
Semele,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Seminario de experiencias de archivo,Tzutzumatzin Soto,Seminario de experiencias de archivo,,56,1,,2018,ABRIL,SALA
Sin amor,Andréi Zviáguintsev,estreno,Rusia-Francia-Alemania-Bélgica,5296,33,ADULTOS,2018,ABRIL,SALA
"Sistiaga, una historia vasca",Manuel Sorto,Continua en Cartelera,El Salvador-Francia,19,1,ADULTOS,2018,ABRIL,SALA
Sommer dreams,varios,MICU,,,,,2018,ABRIL,SALA
Splice: experimento mortal,Vicenzo Natali,Híbridos: el cuerpo como imaginario,Canadá-Francia-Estados Unidos,121,1,ADULTOS,2018,ABRIL,SALA
Stalker. La zona,Andrei Tarkovsky,64 Muestra Internacional de Cine,Unión Soviética,592,2,ADULTOS,2018,ABRIL,SALA
Sueño en otro idioma,Ernesto Contreras,estreno,México-Holanda,2343,18,ADULTOS,2018,ABRIL,SALA
"Tecuani, hombre jaguar",varios,Noche de shorts,,,,,2018,ABRIL,SALA
Terminator,James Cameron,Híbridos: el cuerpo como imaginario,Estados Unidos,167,1,ADULTOS,2018,ABRIL,SALA
Tiempo de rosas,"Risto Jarva, Jaako Pakkasvirta y Peter von Bagh",Semana de Cine Finlandés,Finlandia,161,2,ADULTOS,2018,ABRIL,SALA
Tigrero,Mika Kaurismäki,Semana de Cine Finlandés,Finlandia-Brasil-Alemania,150,2,ADULTOS,2018,ABRIL,SALA
Tom de Finlandia,Dome Karukoski,Semana de cine Finlandés,Finlandia-Suecia-Dinamarca-Alemania-Islandia-Estados Unidos,174,1,ADULTOS,2018,ABRIL,SALA
Umbral de vida,varios,Semana de cine Finlandés,,,,,2018,ABRIL,SALA
Un dulce olor a muerte,Gabriel Retes,Los retos de Retes,México,38,2,ADULTOS,2018,ABRIL,SALA
Un final feliz,Michael Haneke,64 Muestra Internacional de Cine,Francia-Alemania-Austria,2864,12,ADULTOS,2018,ABRIL,SALA
Un minuto de gloria,Kristina Grozeva y Petar Valchanov,estreno,Bulgaria-Grecia,717,6,ADULTOS,2018,ABRIL,SALA
Una mujer fantástica,Sebastián Lelio,Continua en Cartelera,Chile-Alemania-España-Estados Unidos,1373,11,ADULTOS,2018,ABRIL,SALA
Una vuelta más,varios,MICU,,,,,2018,ABRIL,SALA
Una vuleta más,varios,MICU,,,,,2018,ABRIL,SALA
Verano 1993,Carla Simón,estreno,España,2099,19,ADULTOS,2018,ABRIL,SALA
Verbenas culturales,,Vinculación Educativa,,90,2,NIÑOS,2018,ABRIL,SALA
Vivos se los llevaron,varios,Noche de shorts,,,,,2018,ABRIL,SALA
Windows by night/ Las vegas en 16 partes,Luciano Piazza,CALARTS,Argentina-Estados Unidos,65,1,ADULTOS,2018,ABRIL,SALA
Yo soy de allá,varios,MICU,,,,,2018,ABRIL,SALA
Zanjas,Francisco J. Paparella,estreno,Argentina-México,336,6,ADULTOS,2018,ABRIL,SALA
Linterna Mágica,,Linterna mágica,,480,2,INFANTIL,2018,ABRIL,SALA
#Foreveralone,Mac Arellano,Festival MIX,México,116,1,ADULTOS,2018,MAYO,SALA
¿Quién diablos es Juliette?,Marcos Marcovich,,México,506,5,ADULTOS,2018,MAYO,SALA
"2 de Octubre, aquí en méxico",Oscar Menéndez,Festival ambulante: por ahí del 68,México,,,,2018,MAYO,SALA
4 Días en Francia,Jerome reybaud,Festival MIX,Francia,172,1,ADULTOS,2018,MAYO,SALA
A través del muro tierra de nadie: un cuento popular,,Cinema planeta,,,,,2018,MAYO,SALA
Abrete puerta de piedra,Leonora Garrington,Leonora Carrington: cuentos mágicos,,264,2,ADULTOS,2018,MAYO,SALA
Acapulco sunset,Papus Von Saenger,Festival MIX,México,74,1,ADULTOS,2018,MAYO,SALA
Aceotación,varios,Festival MIX,Estados Unidos-Suiza-Australia-Reino Unido-Francia-España,,,,2018,MAYO,SALA
Acércandose,varios,Festival MIX,Estados Unidos-Portugal-República Checa,,,,2018,MAYO,SALA
Al berto,Vicente Alves de Ó,Festival MIX,Portugal,103,1,ADULTOS,2018,MAYO,SALA
Alicia,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,345,2,ADULTOS,2018,MAYO,SALA
Amalia quilap,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Amante por un día,Philippe Garrel,Continua en Cartelera,Francia,2475,23,ADULTOS,2018,MAYO,SALA
Amor eterno,Marcal Forés,Festival MIX,España,79,1,ADULTOS,2018,MAYO,SALA
Amor plástico,varios,Festival MIX,México,,,,2018,MAYO,SALA
Andalucia inmaternal,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Another kind of love,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
"Arriba, abajo y a los lados","Anushka Meenaskshi, Iswar Srikumar",Cinema planeta,India,74,1,ADULTOS,2018,MAYO,SALA
Artemio,Sandra Luz López,Cinema planeta,México,81,1,ADULTOS,2018,MAYO,SALA
Ataraxia,varios,Festival MIX,México,,,,2018,MAYO,SALA
Ayer maravilla Fui,Gabriel Mariño,Festival MIX,México,342,2,ADULTOS,2018,MAYO,SALA
Basada en hechos reales, Roman Polanski,Continua en Cartelera,Francia,555,3,ADULTOS,2018,MAYO,SALA
Batallas intimas,Lucía Gajá,Rumbo al ariel,México,152,,,2018,MAYO,SALA
"Belfast, Maine",Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos,67,2,ADULTOS,2018,MAYO,SALA
Bottle rocket,Wes anderson,Todo Wes Anderson,Estados Unidos,1260,4,ADULTOS,2018,MAYO,SALA
BOYS,varios,Festival MIX,Estados Unidos-Portugal-República Checa,,,,2018,MAYO,SALA
Boys for sale,Itako,Festival MIX,Japón,197,2,ADULTOS,2018,MAYO,SALA
Boys shorts,varios,Festival MIX,Estados Unidos-Portugal-República Checa,31,,,2018,MAYO,SALA
Cabras,,Cinema planeta,,,,,2018,MAYO,SALA
Campamento Zapatista en defensa del agua del río cuautla,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Caravaggio el alma y la sangre,,Función especial,,939,5,ADULTOS,2018,MAYO,SALA
Causas corrientes de un cuadro clínico,varios,Festival MIX,México,,,,2018,MAYO,SALA
Cazadores de focas: la ultima cacería,"Gry Elisabeth Mortensen, Trude Berge Ottersen",Cinema planeta,Noruega,28,1,ADULTOS,2018,MAYO,SALA
Ciegos,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos,124,2,ADULTOS,2018,MAYO,SALA
Cínicos,Raúl Perrone,P3ERRON3: El último de los independientes,Argentina,76,3,ADULTOS,2018,MAYO,SALA
Circulo Psicoanalitico mexicano: Guerrero,Ludovic Bonieux,Función especial,México,190,1,ADULTOS,2018,MAYO,SALA
Ciudad del futuro,Cláudio Marques y Marilia Hughes,Festival MIX,Brasil,53,1,ADULTOS,2018,MAYO,SALA
Climax,varios,Festival MIX,Estados Unidos-Suiza-Brasil-Portugal,,,,2018,MAYO,SALA
Coming out,Heiner Carow,Festival MIX,Alemania,45,1,ADULTOS,2018,MAYO,SALA
Compilación de fragmentos,varios,Festival ambulante: por ahí del 68,Estados Unidos,,,,2018,MAYO,SALA
Conspiradores del placer,Jan Svankmajer,El cine alucinante de Jan Svankmajer,Republica checa-Suiza-Reino Unido,348,2,ADULTOS,2018,MAYO,SALA
Concierto Vivencias del 68,,Festival ambualnte: por ahí del 68,,180,1,ADULTOS,2018,MAYO,SALA
Coro del crépusculo,"Nika Saravanja, Alessandro d´Emilia",Cinema planeta,Italia,38,1,ADULTOS,2018,MAYO,SALA
Crazy horse,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos-Francia,118,1,ADULTOS,2018,MAYO,SALA
Crepúsculo,varios,Festival MIX,Estados Unidos-Suiza-Australia-Reino Unido-Francia-España,,,,2018,MAYO,SALA
Crimen en el cairo,,Estreno,,7157,54,ADULTOS,2018,MAYO,SALA
Cuernavaca,Alejandro Andrade,Festival MIX,México,174,1,ADULTOS,2018,MAYO,SALA
CUMP4RSIT4,Raúl Perrone,P3ERRON3: El último de los independientes,,82,4,ADULTOS,2018,MAYO,SALA
"David, el regreso a la tierra",Anaís Huerta,Cinema planeta,México,14,1,ADULTOS,2018,MAYO,SALA
De puro aire,,,,23,1,ADULTOS,2018,MAYO,SALA
Dimensiones del dialogo,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
Diosbendice,Sebastian Lelio,Festival MIX,Estados Unidos-Irlanda-Reino Unido,174,1,ADULTOS,2018,MAYO,SALA
"Doble amante, amante doble",,Continua en Cartelera,,1322,11,ADULTOS,2018,MAYO,SALA
Donde el verano se va,varios,Festival MIX,Estados Unidos-Portugal-República Checa,,,,2018,MAYO,SALA
Dulces navajas,Eloy de la Iglesia,Festival MIX,España,70,1,ADULTOS,2018,MAYO,SALA
El ángel en el reloj,Miguel Ángel Flores,Matinee infantil,México,325,3,INFANTIL,2018,MAYO,SALA
El asesino vive en el 21,Henri-Georges Clouzot,Clásicos en pantalla grande,Francia,330,2,ADULTOS,2018,MAYO,SALA
El brazo fuerte,Giovanni Korporaal,Clásicos en pantalla grande,México,172,2,ADULTOS,2018,MAYO,SALA
El caído del cielo,,Estreno,,348,6,ADULTOS,2018,MAYO,SALA
El Cavernícola,Nick Park,Matinee infantil,Reino Unido,389,7,INFANTIL,2018,MAYO,SALA
El cine alucinante de Jan Svankmajer,,Master Class,,736,2,ADULTOS,2018,MAYO,SALA
El compadre Mendoza,,"Charla sobre cine y literatura: Mauricio Magdaleno, guionista",México,132,1,ADULTOS,2018,MAYO,SALA
El diablo está en los detalles,varios,Festival MIX,Estados Unidos-Suiza-Australia-Reino Unido-Francia-España,45,,,2018,MAYO,SALA
El diputado,Eloy de la Iglesia,Festival MIX,España,81,1,ADULTOS,2018,MAYO,SALA
El divino pastor,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
El extraño caso de Angelica,,Vinculación Educativa,,25,1,ADULTOS,2018,MAYO,SALA
El fantasma del bosque de deiana,varios,Festival MIX,Bolivia-Dinamarca-Brasil-Estados Unidos,,,,2018,MAYO,SALA
El fantastico señor zorro,Wes anderson,Todo Wes Anderson,Estados Unidos,769,2,ADULTOS,2018,MAYO,SALA
El gran hotel Budapest,Wes Anderson,Todo Wes Anderson,Reino Unido-Alemania,767,2,ADULTOS,2018,MAYO,SALA
El gusto y el sustento,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
El intenso ahora,,Estreno,,957,20,ADULTOS,2018,MAYO,SALA
El joven Törless,Volker Shlöndorff,Festival MIX,Alemania,27,1,ADULTOS,2018,MAYO,SALA
El mar incendiado,,Cinema planeta,,,,,2018,MAYO,SALA
El niño y el mundo,,Vinculación Educativa,,50,1,INFANTIL,2018,MAYO,SALA
El pequeño Otik,Jan Svankmajer,El cine alucinante de Jan Svankmajer,República Checa-Reino Unido,443,3,ADULTOS,2018,MAYO,SALA
"El pozo, el pendulo y la esperanza",Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
El señor de los guerreros,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
El sótano,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
El tercer asesinato,,Estreno,,2189,14,ADULTOS,2018,MAYO,SALA
El vigilante,Diego Ross,Continua en Cartelera,México,280,9,ADULTOS,2018,MAYO,SALA
"En tierra de machos, el joto es rey",varios,Festival MIX,México,,,,2018,MAYO,SALA
Entre robles,Mehdi Noormohammadi,Cinema planeta,Irán,14,1,ADULTOS,2018,MAYO,SALA
Entrevista a Alfonso Corona,Oscar Menéndez,Festival ambulante: por ahí del 68,México,,,,2018,MAYO,SALA
Escapulario,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Escoger,varios,Festival MIX,Estados Unidos-Suiza-Australia-Reino Unido-Francia-España,,,,2018,MAYO,SALA
Estabilidad,varios,Festival MIX,México,,,,2018,MAYO,SALA
Evaporado,varios,Festival MIX,México,,,,2018,MAYO,SALA
Ex libris: la biblioteca pública de Nueva York,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos,129,1,ADULTOS,2018,MAYO,SALA
Expiación,Raúl Perrone,P3ERRON3: El último de los independientes,Argentina,71,3,ADULTOS,2018,MAYO,SALA
Extra terrestres,Carla Cavina,Festival MIX,Venezuela,41,1,ADULTOS,2018,MAYO,SALA
Fausto,Jan Svankmajer,El cine alucinante de Jan Svankmajer,Republica Checa-Francia-Reino Unido,350,2,ADULTOS,2018,MAYO,SALA
Favula,Raúl Perrone,P3ERRON3: El último de los independientes,Argentina,105,4,ADULTOS,2018,MAYO,SALA
Fenómenos,Tod Browning,Clásicos en pantalla grande,Estados Unidos,348,2,ADULTOS,2018,MAYO,SALA
Fisuras,varios,Festival MIX,México,,,,2018,MAYO,SALA
Flora,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
Floureja,,Cinema planeta,,,,,2018,MAYO,SALA
Frágil equilibrio,Guillermo García López,Cinema planeta,España,80,1,ADULTOS,2018,MAYO,SALA
Fredercik Wiseman,,Master Class,,,,,2018,MAYO,SALA
Frig,Antony Hickling,Festival Mix,Francia,162,1,ADULTOS,2018,MAYO,SALA
Fuera de juego,Richard Zubelzu,Festival MIX,Rumanía,82,2,ADULTOS,2018,MAYO,SALA
Galería Nacional,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Reino Unido / Francia-Estados Unidos,123,2,ADULTOS,2018,MAYO,SALA
Gimnasio de box,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos,85,2,ADULTOS,2018,MAYO,SALA
Go´on ma´ñaán,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Guitar idol,varios,Festival MIX,Estados Unidos-Suiza-Brasil-Portugal,,,,2018,MAYO,SALA
Hairat,,Cinema planeta,,,,,2018,MAYO,SALA
Hierba,,P3ERRON3: El último de los independientes,,181,6,ADULTOS,2018,MAYO,SALA
Historia natural,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
Hogar,,Estreno,,3121,37,ADULTOS,2018,MAYO,SALA
Hospital,Fredercik Wiseman,Retrospectiva de Frederick Wiseman,Estados Unidos,107,2,ADULTOS,2018,MAYO,SALA
Hotel chevalier/Viaje a darjeeling,Wes anderson,Todo Wes Anderson,Estados Unidos-Francia,1239,4,ADULTOS,2018,MAYO,SALA
Huenul,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Humboldt en México. La mirada del explorador,Ana Cruz,Continua en Cartelera,México,3691,39,ADULTOS,2018,MAYO,SALA
Inocentes,varios,Festival MIX,Estados Unidos-Suiza-Brasil-Portugal,,,,2018,MAYO,SALA
Insectos,Jan Svankmajer,El cine alucinante de Jan Svankmajer,Republica Checa-Eslovaquia,172,1,ADULTOS,2018,MAYO,SALA
Irak año cero/ Parte 2: Después de la batallas,Abbas Fahdel,Continua en Cartelera,Irak-Francia,583,30,ADULTOS,2018,MAYO,SALA
Isla de perros,Wes Anderson,Estreno,Estados Unidos,31968,84,ADULTOS,2018,MAYO,SALA
J.S. Bach-Fantasía en G menor,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
Jaberwocky,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
Jane,Brett Morgen,Cinema planeta,Estados Unidos,72,1,ADULTOS,2018,MAYO,SALA
Kedi,Ceyda Torun,Cinema planeta,Turquía,,,,2018,MAYO,SALA
La 4ª compañía,Amir Galván y Vanessa Arreola,Continua en Cartelera,México-España,2119,18,ADULTOS,2018,MAYO,SALA
La cacería de conejos,,Cinema planeta,,,,,2018,MAYO,SALA
La comida,Jan Svankmajer,El cine alucinante de Jan Svankmajer,,,,,2018,MAYO,SALA
La cordillera,Santiago Mitre,Premios Platino,Argentina-España-Francia,67,1,ADULTOS,2018,MAYO,SALA
La danza,Fredercik Wiseman,Retrospectiva Frederick Wiseman,Francia- Estados Unidos,118,1,ADULTOS,2018,MAYO,SALA
La libertad del diablo,Everardo González,Continua en Cartelera/Rumbo al ariel,México,1376,15,ADULTOS,2018,MAYO,SALA
La maldición de Thelma,,Continua en Cartelera,,4559,31,ADULTOS,2018,MAYO,SALA
La mujer joven,,,,2118,15,ADULTOS,2018,MAYO,SALA
La región salvaje,Amat Escalante,Rumbo al ariel,México,172,1,ADULTOS,2018,MAYO,SALA
La revolución de Juan Escopeta,,Vinculación Educativa,,42,1,ADULTOS,2018,MAYO,SALA
La ruptura,Erlingur Óttar,Festival MIX,Islandia,158,2,ADULTOS,2018,MAYO,SALA
Lady Macbeth,William Oldroyd,,Reino Unido,201,2,ADULTOS,2018,MAYO,SALA
Las pibas,Raúl Perrone,P3ERRON3: El último de los independientes,Argentina,130,4,ADULTOS,2018,MAYO,SALA
"Leonora Carrington. Ábrete, puerta de piedra","Dominique, Julien Ferrandou",Leonora Carrington: cuentos mágicos,Francia,264,2,ADULTOS,2018,MAYO,SALA
Lipmieza nocturna,varios,Festival MIX,Estados Unidos-Suiza-Brasil-Portugal,,,,2018,MAYO,SALA
Llámame por tu nombre,Luca Guadagnino,Festival MIX,Italia-Francia-Estados Unidos-Brasil,174,1,ADULTOS,2018,MAYO,SALA
Lobo,Naji Abu Nowar,Continua en Cartelera,Jordania-Emiratos Árabes Unidos-Reino Unido-Qatar,635,16,ADULTOS,2018,MAYO,SALA
Locura/demencia,Jan Svankmajer,El cine alucinante de Jan Svankmajer,República Checa-Eslovaquia,267,2,ADULTOS,2018,MAYO,SALA
Los burros muertos no le temen a las hienas/Heirat,Joakim Demmer,Cinema planeta,Suiza-Alemania-Finlandia,107,1,ADULTOS,2018,MAYO,SALA
Los días más obscuros de nosotras |Oasis,Astrid Rondero,Festival MIX,México,117,1,ADULTOS,2018,MAYO,SALA
Los excéntricos tenebaum,Wes anderson,Todo Wes Anderson,Estados Unidos,1393,6,ADULTOS,2018,MAYO,SALA
Los ojos del mar,José Álvarez,Continua en Cartelera,México-Alemania,398,15,ADULTOS,2018,MAYO,SALA
Loving south,varios,Festival MIX,México,,,,2018,MAYO,SALA
M/M,Drew Lint,Festival MIX,Canadá-Alemania,77,1,ADULTOS,2018,MAYO,SALA
Mano de metate,"Eugenia Varela, Bruno Varela",,México,106,1,ADULTOS,2018,MAYO,SALA
Marica tú,Ismael Núñez,Festival MIX,España,43,1,ADULTOS,2018,MAYO,SALA
Masewaltlatzotzontli,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
Matar a un hombre,,Vinculación Educativa,,32,1,ADULTOS,2018,MAYO,SALA
Maxtialeero,,1° Muestra internacional de obras audiovisuales sobre PCI,,,,,2018,MAYO,SALA
